GEO_ID,Total,White,Black,NativeAmerican,Asian,HawaiianAPI,Other,Twoplus,TwoplusOther,TwominusOther_Threeplus
06037125403,2571,1434,198,12,201,0,243,483,347,136
06037125404,2886,1215,901,0,232,0,218,320,183,137
06037125501,2871,1805,272,0,245,0,233,316,6,310
06037125502,3624,2298,133,0,244,12,485,452,239,213
06037125600,2941,1850,288,0,282,0,144,377,214,163
06037127102,4956,1702,406,0,366,0,1711,771,707,64
06037127103,3360,1048,348,28,293,0,1159,484,374,110
06037127104,4385,2243,147,0,288,0,1049,658,590,68
06037127210,5630,2075,317,77,760,0,1673,728,473,255
06037127220,5219,1513,169,54,416,0,2187,880,767,113
06037127300,3942,1381,238,43,414,0,1016,850,668,182
06037127400,5855,1502,116,66,179,0,2820,1172,990,182
06037127520,4722,1042,253,82,103,0,2973,269,207,62
06037127603,2791,867,58,15,168,19,1128,536,508,28
06037127604,3141,1340,263,33,180,0,925,400,281,119
06037127605,3734,802,221,37,15,0,2068,591,458,133
06037127606,3110,760,42,0,437,0,1298,573,515,58
06037127711,3207,1476,205,0,254,0,963,309,204,105
06037127712,3859,1487,434,0,177,0,791,970,923,47
06037127803,5068,1857,187,18,703,0,1753,550,369,181
06037127804,4728,1474,166,91,715,0,1399,883,746,137
06037127805,3518,1079,408,0,130,7,1372,522,482,40
06037127806,3576,1467,242,0,300,0,1286,281,178,103
06037127910,4908,985,141,144,310,0,2783,545,524,21
06037127920,4622,2743,38,11,200,0,1374,256,213,43
06037128101,2890,1141,250,7,156,0,754,582,561,21
06037128102,4750,1783,253,16,319,0,1785,594,502,92
06037128210,5357,1402,193,227,125,0,2092,1318,1208,110
06037128220,2832,1366,268,0,150,0,652,396,318,78
06037128302,4790,1635,252,28,379,0,1377,1119,1065,54
06037128303,3487,1073,86,0,97,0,1260,971,932,39
06037128400,4241,2316,336,38,279,0,808,464,189,275
06037128500,4104,2669,271,15,232,0,584,333,125,208
06037128601,5020,1793,283,143,181,30,936,1654,1355,299
06037128602,2863,2104,90,1,125,0,314,229,102,127
06037128703,3252,2193,467,22,128,0,97,345,96,249
06037128704,2335,1790,126,5,116,0,174,124,13,111
06037128801,3740,2334,288,51,398,15,217,437,150,287
06037128802,4186,2456,613,0,636,14,204,263,174,89
06037128910,4741,2922,123,0,535,0,395,766,424,342
06037131021,3423,835,180,31,404,151,1666,156,126,30
06037131022,2917,916,191,91,631,0,903,185,51,134
06037131023,2774,871,117,25,360,0,1239,162,27,135
06037131024,3984,1335,292,0,379,0,1846,132,33,99
06037131100,3340,1670,16,0,321,0,1111,222,129,93
06037131200,3796,2260,182,40,212,8,868,226,120,106
06037131300,4502,1101,138,1,768,0,2077,417,387,30
06037131400,6175,2182,124,29,1162,46,1601,1031,741,290
06037131600,5194,1084,394,98,689,0,2083,846,618,228
06037131701,5297,2660,133,0,813,0,1357,334,215,119
06037131702,3958,1220,224,126,466,0,965,957,851,106
06037131801,3068,681,68,7,521,0,1370,421,237,184
06037131802,2481,1184,243,10,483,0,480,81,63,18
06037131900,4255,2306,20,13,371,0,941,604,545,59
06037132001,2947,1290,206,82,533,0,364,472,323,149
06037132002,3707,1835,135,115,116,0,709,797,192,605
06037132101,4319,1506,107,0,275,0,916,1515,1296,219
06037132102,5279,2662,364,0,678,0,1313,262,103,159
06037132301,3689,1277,413,51,584,0,1070,294,174,120
06037132302,3178,1123,41,25,512,0,1407,70,10,60
06037132501,4641,1816,40,0,381,0,1971,433,321,112
06037132502,3565,2116,70,0,378,0,797,204,136,68
06037132700,4846,1927,257,0,229,25,1958,450,405,45
06037132900,3559,2304,58,91,173,0,630,303,91,212
06037133000,4373,2313,83,0,273,0,1197,507,434,73
06037133101,1827,1200,25,16,70,0,146,370,336,34
06037133102,3703,2397,111,46,425,0,563,161,106,55
06037134001,3715,1039,158,41,359,0,1782,336,242,94
06037134002,3798,1359,230,56,261,0,1437,455,168,287
06037134101,5414,1442,82,17,1525,0,1866,482,363,119
06037134103,4584,1792,247,64,540,0,1520,421,269,152
06037134104,4419,1184,95,62,1633,24,965,456,296,160
06037134201,4345,1200,58,84,1382,11,1316,294,151,143
06037134302,4287,1812,110,35,998,0,1006,326,166,160
06037134303,5597,3026,26,0,701,0,1428,416,90,326
06037134304,3045,1300,175,7,446,0,938,179,60,119
06037134305,3840,876,171,50,289,0,2156,298,281,17
06037134306,3925,1513,273,28,844,0,1146,121,74,47
06037134421,4292,2738,162,21,576,0,8,787,226,561
06037134422,4933,3040,192,0,1036,0,181,484,180,304
06037134423,3243,2168,0,59,611,0,82,323,180,143
06037134424,2821,1990,57,0,567,0,26,181,3,178
06037134520,5263,1217,155,66,668,0,2014,1143,1024,119
06037134521,2944,280,0,7,91,0,2103,463,452,11
06037134522,4741,1652,92,12,506,0,2100,379,359,20
06037134710,5531,1053,252,26,774,0,3233,193,116,77
06037134720,5195,1296,232,84,937,0,1742,904,744,160
06037134801,3091,1335,71,26,673,0,594,392,298,94
06037134802,3121,1300,183,0,574,0,669,395,215,180
06037134901,2577,1789,27,0,152,0,433,176,120,56
06037134904,4615,1519,185,0,861,0,1544,506,223,283
06037134905,5590,2557,1359,0,673,40,528,433,196,237
06037134906,3056,922,11,43,335,0,1451,294,22,272
06037134907,3635,1825,614,189,439,0,346,222,88,134
06037135102,3652,2034,318,0,467,0,310,523,386,137
06037135111,4001,2123,127,48,646,0,292,765,633,132
06037135113,2951,1734,345,0,549,0,198,125,75,50
06037135115,3212,1553,59,0,1280,0,140,180,15,165
06037135116,1477,929,46,6,144,0,154,198,27,171
06037135201,3104,2096,66,6,293,0,376,267,106,161
06037135202,4625,2953,366,107,625,16,242,316,209,107
06037135204,4481,2914,282,0,507,0,202,576,330,246
06037135205,2059,1399,10,54,510,0,25,61,0,61
06037137000,5035,3591,191,34,534,4,141,540,240,300
06037137103,5560,3842,74,29,879,0,303,433,115,318
06037137104,2416,1873,101,0,142,0,27,273,223,50
06037137202,3339,1771,439,0,610,0,312,207,32,175
06037137203,2660,1824,74,0,272,0,126,364,69,295
06037137301,2142,1681,0,0,119,0,94,248,43,205
06037137302,4376,3434,308,29,214,0,243,148,34,114
06037137401,4567,3806,199,0,159,0,138,265,96,169
06037137402,5663,3659,865,0,246,0,368,525,361,164
06037137501,5426,3404,231,0,1127,0,98,566,327,239
06037137502,4432,2723,40,37,431,0,492,709,378,331
06037137504,1983,1328,119,12,128,0,0,396,189,207
06037138000,4826,4012,142,0,179,37,60,396,31,365
06037139001,5511,4193,48,0,456,0,133,681,427,254
06037139200,5946,4395,168,0,368,0,313,702,432,270
06037139301,4243,2943,143,34,280,0,108,735,517,218
06037139302,5181,2111,262,56,902,0,1294,556,232,324
06037139303,4556,2750,408,61,337,8,651,341,97,244
06037139401,2405,1663,292,0,88,0,93,269,175,94
06037139402,2893,2201,102,0,104,0,85,401,149,252
06037139502,3113,2362,51,0,96,0,146,458,352,106
06037139504,3741,2966,189,0,151,0,273,162,111,51
06037139505,2485,1413,78,0,231,0,88,675,254,421
06037139506,2889,2336,0,0,152,0,273,128,60,68
06037139600,5134,4104,138,0,320,0,95,477,98,379
06037139701,5388,4658,182,0,123,0,231,194,18,176
06037139703,2438,1850,170,3,169,0,0,246,43,203
06037139704,2597,2356,13,0,37,0,32,159,107,52
06037139705,4097,3425,44,64,341,17,0,206,0,206
06037139801,3498,2935,141,0,110,0,76,236,0,236
06037139802,3887,2918,239,7,462,0,85,176,101,75
06037141101,4434,3043,245,0,39,0,187,920,297,623
06037141102,2961,1966,236,3,129,0,10,617,234,383
06037141201,3960,2669,192,0,475,0,163,461,119,342
06037141202,2958,2190,63,18,187,27,123,350,155,195
06037141303,3231,2239,115,0,314,16,202,345,96,249
06037141304,3011,2559,110,15,96,7,54,170,105,65
06037141305,2878,1528,148,51,163,0,190,798,640,158
06037141306,3076,2295,62,0,279,0,141,299,121,178
06037141400,5019,3601,86,0,372,0,243,717,231,486
06037141500,3017,2490,276,0,121,0,86,44,17,27
06037141600,3853,3130,120,0,272,0,0,331,133,198
06037141700,3086,2715,0,0,112,0,83,176,90,86
06037143101,2074,1550,136,0,226,48,29,85,28,57
06037143102,2337,1598,47,0,123,0,186,383,311,72
06037143200,4235,2348,235,0,418,29,493,712,546,166
06037143301,3385,2366,69,68,176,0,207,499,346,153
06037143302,3258,2621,189,0,260,0,49,139,30,109
06037143401,5478,3870,121,0,606,0,283,598,228,370
06037143402,1844,1665,15,20,52,0,80,12,12,0
06037143500,5328,4089,268,40,100,0,225,606,190,416
06037143602,4734,3576,126,5,562,0,158,307,132,175
06037143603,2459,1541,230,15,317,0,96,260,164,96
06037143605,1827,1188,242,0,219,0,0,178,119,59
06037143606,1695,1062,127,15,239,0,23,229,150,79
06037143700,3438,2854,70,0,168,0,52,294,93,201
06037143801,3411,2189,320,0,329,0,61,512,46,466
06037143802,2239,1727,78,13,228,0,72,121,62,59
06037143901,4222,3219,61,0,300,0,78,564,262,302
06037143902,3053,2211,49,0,224,0,0,569,389,180
06037181000,5992,3091,8,47,1297,0,513,1036,542,494
06037181300,3971,1652,73,2,999,0,363,882,390,492
06037181400,4655,2000,105,88,1396,0,623,443,116,327
