OBJECTID,ain,ASI_Status,situsaddress,situscity,situszip,LV_IV_Ratio,YearBuiltMax,usecode,usetype,usedescription,Vacant_Use,Publicly_Owned,unitstotal,SupDist2021,Submarket_Area,plng_area,Comm_Name,Plan_Name,Zoning1,PctZngArea1,Zoning2,PctZngArea2,Zoning3,PctZngArea3,LUP1,PctLUPArea1,LUP2,PctLUPArea2,LUP3,PctLUPArea3,SP_LUP1,SP_LUP_Desc1,PctSpLupArea1,SP_LUP2,SP_LUP_Desc2,PctSpLupArea2,SP_LUP3,SP_LUP_Desc3,PctSpLupArea3,Acres,LUP_Units_Total,LUP_MinDens,LUP_MaxDens,Site_Status,Capacity_Inc_Very_Low,Capacity_Inc_Low,Capacity_Inc_Mod,Capacity_Inc_Abv_Mod,Realistic_Capacity,Income_Categories,Consolidation_ID,Lot_Size_Consolidated,Lot_Consolidation_Notes,Consolidation_Adj_APNs,Previous_HE,Shape__Area,Shape__Length
851,3033015095,Vacant, VAC/223 STE(DRT)/METRO BYPASS(DR,BLACK BUTTE CA,93591,0,0,580V,Irrigated Farm,Desert,Vacant Use,NO - Privately-Owned,0,5,Antelope Valley,Antelope Valley Planning Area,ANTELOPE VALLEY,Antelope Valley Area Plan,A-2-2,97.77,,0,,0,RL10,97.77,,0,,0,,,0,,,0,,,0,5.3283123,,0,1 du / 10 gross ac,Available,0,0,1,0,1,M,,,,,Not Used in Prior Housing Element,232101.282226563,2377.99825621645
852,3070003025,Vacant, VAC/168TH STE/VIC SWEETAIRE AVE,LANCASTER CA,93535,0,0,010V,Residential,Single,Vacant Use,NO - Privately-Owned,0,5,Antelope Valley,Antelope Valley Planning Area,ANTELOPE VALLEY,Antelope Valley Area Plan,R-A,100,,0,,0,H2,100,,0,,0,,,0,,,0,,,0,0.67523211,,0,2 du/net ac,Available,0,0,1,0,1,M,,,,,Not Used in Prior Housing Element,29413.1103515625,788.261432603518
853,3038011015,Vacant, VAC/AVE W(PAV)/VIC 128 STE(PAV),PEARBLOSSOM CA,93553,0,0,010V,Residential,Single,Vacant Use,NO - Privately-Owned,0,5,Antelope Valley,Antelope Valley Planning Area,ANTELOPE VALLEY,Antelope Valley Area Plan,R-A,100,,0,,0,H2,100,,0,,0,,,0,,,0,,,0,0.98300807,,0,2 du/net ac,Available,0,0,1,0,1,M,,,,,Not Used in Prior Housing Element,42819.8310546875,947.891098878894
854,3074017003,Vacant, VAC/167TH STE/VIC RAWHIDE AVE,LAKE LOS ANGELES CA,93591,0,0,010V,Residential,Single,Vacant Use,NO - Privately-Owned,0,5,Antelope Valley,Antelope Valley Planning Area,ANTELOPE VALLEY,Antelope Valley Area Plan,R-A,100,,0,,0,H2,100,,0,,0,,,0,,,0,,,0,0.51078361,,0,2 du/net ac,Available,0,0,1,0,1,M,,,,,Not Used in Prior Housing Element,22249.7353515625,641.170324934671
855,3071019016,Vacant,176th St E & Sweetaire Ave, ,93535,0,0,010V,Residential,Single,Vacant Use,NO - Privately-Owned,0,5,Antelope Valley,Antelope Valley Planning Area,ANTELOPE VALLEY,Antelope Valley Area Plan,R-A,100,,0,,0,H2,100,,0,,0,,,0,,,0,,,0,0.67682591,,0,2 du/net ac,Available,0,0,1,0,1,M,,,,,Not Used in Prior Housing Element,29482.5361328125,761.984185441344
856,3117001060,Vacant, VAC/AVE D/VIC 40 STW,CALICHE CA,93536,0,0,010V,Residential,Single,Vacant Use,NO - Privately-Owned,0,5,Antelope Valley,Antelope Valley Planning Area,ANTELOPE VALLEY,Antelope Valley Area Plan,R-A,100,,0,,0,H5,100,,0,,0,,,0,,,0,,,0,2.12790955,,0,5 du/net ac,Available,0,0,1,0,1,M,,,,,Not Used in Prior Housing Element,92691.7392578125,1222.05411612996
857,3038012004,Vacant, VAC/AVE V12(PAV)/VIC 128 STE,PEARBLOSSOM CA,93553,0,0,010V,Residential,Single,Vacant Use,NO - Privately-Owned,0,5,Antelope Valley,Antelope Valley Planning Area,ANTELOPE VALLEY,Antelope Valley Area Plan,R-A,100,,0,,0,H2,100,,0,,0,,,0,,,0,,,0,0.83860343,,0,2 du/net ac,Available,0,0,1,0,1,M,,,,,Not Used in Prior Housing Element,36529.5673828125,844.341690379056
858,3071024016,Vacant,174th St E & Sweetaire Ave, ,93535,0,0,010V,Residential,Single,Vacant Use,NO - Privately-Owned,0,5,Antelope Valley,Antelope Valley Planning Area,ANTELOPE VALLEY,Antelope Valley Area Plan,R-A,100,,0,,0,H2,100,,0,,0,,,0,,,0,,,0,0.67374387,,0,2 du/net ac,Available,0,0,1,0,1,M,,,,,Not Used in Prior Housing Element,29348.283203125,759.493197885666
859,3073001012,Vacant,170th St E & E Avenue P, ,93591,0,0,100V,Commercial,Commercial,Vacant Use,NO - Privately-Owned,0,5,Antelope Valley,Antelope Valley Planning Area,ANTELOPE VALLEY,Antelope Valley Area Plan,R-A,100,,0,,0,H2,100,,0,,0,,,0,,,0,,,0,2.45094086,,0,2 du/net ac,Available,0,0,1,0,1,M,,,,,Not Used in Prior Housing Element,106762.983398438,2023.48864049186
860,3070006036,Vacant,169th St E & Mossdale Ave, ,93535,0,0,010V,Residential,Single,Vacant Use,NO - Privately-Owned,0,5,Antelope Valley,Antelope Valley Planning Area,ANTELOPE VALLEY,Antelope Valley Area Plan,R-A,100,,0,,0,H2,100,,0,,0,,,0,,,0,,,0,0.67418525,,0,2 du/net ac,Available,0,0,1,0,1,M,,,,,Not Used in Prior Housing Element,29367.5107421875,787.692664614309
