OBJECTID_12,Join_Count,TARGET_FID,CT20,LABEL,NAME,SUP_NAME,DIST_SUP,CITYNAME_ALF,NAME_1,JURISDICTION,AREA_NUM,AREA_NAME,Shape__Area,Shape__Length
1737,2,1737,534804,5348.04,4TH SUP. DISTRICT,4TH DISTRICT: JANICE HAHN,4,,WALNUT PARK,UNINCORPORATED AREA,9,Metro Planning Area,538706.125,3429.873222
1746,1,1746,535501,5355.01,4TH SUP. DISTRICT,4TH DISTRICT: JANICE HAHN,4,SOUTH GATE,,INCORPORATED CITY,9,Gateway Planning Area,716624.1445,4443.61275
1747,1,1747,535502,5355.02,4TH SUP. DISTRICT,4TH DISTRICT: JANICE HAHN,4,SOUTH GATE,,INCORPORATED CITY,9,Gateway Planning Area,688641.9453,3337.768213
1748,1,1748,535503,5355.03,4TH SUP. DISTRICT,4TH DISTRICT: JANICE HAHN,4,SOUTH GATE,,INCORPORATED CITY,10,Gateway Planning Area,462460.1172,2821.483845
1749,2,1749,535603,5356.03,4TH SUP. DISTRICT,4TH DISTRICT: JANICE HAHN,4,SOUTH GATE,,INCORPORATED CITY,9,Gateway Planning Area,1145084.82,5623.613517
1750,2,1750,535604,5356.04,4TH SUP. DISTRICT,4TH DISTRICT: JANICE HAHN,4,SOUTH GATE,,INCORPORATED CITY,9,Gateway Planning Area,644321.8633,3582.326479
1751,1,1751,535605,5356.05,4TH SUP. DISTRICT,4TH DISTRICT: JANICE HAHN,4,SOUTH GATE,,INCORPORATED CITY,10,Gateway Planning Area,684664.8281,3320.723361
1752,2,1752,535606,5356.06,4TH SUP. DISTRICT,4TH DISTRICT: JANICE HAHN,4,SOUTH GATE,,INCORPORATED CITY,9,Gateway Planning Area,270672.5273,2760.012642
1753,2,1753,535607,5356.07,4TH SUP. DISTRICT,4TH DISTRICT: JANICE HAHN,4,SOUTH GATE,,INCORPORATED CITY,9,Gateway Planning Area,1371193.059,5345.041259
1754,1,1754,535701,5357.01,4TH SUP. DISTRICT,4TH DISTRICT: JANICE HAHN,4,SOUTH GATE,,INCORPORATED CITY,10,Gateway Planning Area,1124384.531,4595.839647
1755,1,1755,535702,5357.02,4TH SUP. DISTRICT,4TH DISTRICT: JANICE HAHN,4,SOUTH GATE,,INCORPORATED CITY,10,Gateway Planning Area,1420231.344,4975.700749
1756,1,1756,535802,5358.02,4TH SUP. DISTRICT,4TH DISTRICT: JANICE HAHN,4,SOUTH GATE,,INCORPORATED CITY,10,Gateway Planning Area,1158525.395,4578.911194
1757,1,1757,535803,5358.03,4TH SUP. DISTRICT,4TH DISTRICT: JANICE HAHN,4,SOUTH GATE,,INCORPORATED CITY,10,Gateway Planning Area,616031.4375,3169.777723
1758,1,1758,535804,5358.04,4TH SUP. DISTRICT,4TH DISTRICT: JANICE HAHN,4,SOUTH GATE,,INCORPORATED CITY,10,Gateway Planning Area,715074.4297,3555.262103
1759,1,1759,535901,5359.01,4TH SUP. DISTRICT,4TH DISTRICT: JANICE HAHN,4,SOUTH GATE,,INCORPORATED CITY,10,Gateway Planning Area,1224314.777,4855.518157
1760,1,1760,535902,5359.02,4TH SUP. DISTRICT,4TH DISTRICT: JANICE HAHN,4,SOUTH GATE,,INCORPORATED CITY,10,Gateway Planning Area,1475562.316,4979.192535
